1.疏水参数计算参考值（XlogP）,10.同位素原子数量,11.确定原子立构中心数量,12.不确定原子立构中心数量,13.确定化学键立构中心数量,14.不确定化学键立构中心数量,15.共价键单元数量,2.氢键供体数量,3.氢键受体数量,4.可旋转化学键数量,5.互变异构体数量,6.拓扑分子极性表面积,7.重原子数量,8.表面电荷,9.复杂度,LogP,PSA,RTECS号,Summary,WGK德国,不确定化学键立构中心数量,不确定原子立构中心数量,个人防护装备,中文别名,中文名,中文概述,互变异构体数量,体内研究,体外研究,信号词,储存条件,共价键单元数量,分子式,分子结构,分子量,动物实验,包装等级,危害声明,危害码 (欧洲),危险品运输编码,危险类别,参考文献,可旋转化学键数量,同位素原子数量,复杂度,外观性状,安全声明 (欧洲),密度,折射率,拓扑分子极性表面积（TPSA）,描述,更多,检验检疫,氢键供体数量,氢键受体数量,水溶解性,沸点,海关编码,熔点,申报要素,疏水参数计算参考值（XlogP）,监管条件,相关类别,确定化学键立构中心数量,确定原子立构中心数量,稳定性,符号,精确质量,细胞实验,英文别名,英文名,药物名称,蒸汽压,表面电荷,警示性声明,计算化学,重原子数量,闪点,靶点,风险声明 (欧洲)
5.1,0,0,0,0,0,1,0,14,2,无,,20,0,337,5.44,,,"2903399090. brominated,fluorinated or iodinated derivatives of acyclic hydrocarbons. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:5.5%. General tariff:30.0%",,,,,"2-三氟甲基全氟戊烷|2-三氟甲基-1,1,1,2,3,3,4,4,5,5,5-十一氟代戊烷",十四氟-2-甲基戊烷,2903399090. 其他无环烃的氟化、溴化或碘化衍生物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:5.5%. 普通关税:30.0%,,,,,,,C6F14,1、 摩尔折射率：31.932、 摩尔体积（cm3/mol）：204.13、 等张比容（90.2K）：374.54、 表面张力（dyne/cm）：11.35、 极化率（10-24cm3）：12.65,338.042,,,,Xi: Irritant;,,,,,,,透明无色液体,S41,1.7±0.1 g/cm3,1.248,,,"一、物性数据性状：不可用密度（g/mL,25/4℃）：1.723相对密度（20℃，4℃）：0.7326熔点（ºC）：-170.7沸点（ºC,常压）：57.7沸点（ºC,5.2kPa）：不可用折射率：1.3000常温折射率（n20）：1.2564比旋光度（º）：不可用自燃点或引燃温度（ºC）：不可用蒸气压（kPa,25ºC）：不可用饱和蒸气压（kPa,60ºC）：不可用临界温度（K）：180.95临界压力（MPa）：1.923临界密度（g·cm-3）：0.614临界体积（cm3·mol-1）：550临界压缩因子：0.280偏心因子：0.464溶解性：不可用",,,,,59.7±8.0 °C at 760 mmHg,2903399090,<-150ºC,"品名, 成分含量, 用途",,,,,,,,337.977631,,更多,"1,1,1,2,2,3,3,4,5,5,5-undecafluoro-4-(trifluoromethyl)pentane",355-04-4,212.2±0.1 mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:5.12.氢键供体数量:03.氢键受体数量:144.可旋转化学键数量:25.互变异构体数量:无6.拓扑分子极性表面积07.重原子数量:208.表面电荷:09.复杂度:33710.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,2.1±10.2 °C,,
2.5,0,0,0,0,0,1,0,7,4,无,,13,0,208,1.91320,26.30000,,2916129000 other esters of acrylic acid VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:6.5% General tariff:30.0%,3,,,Eyeshields;Faceshields;full-face respirator (US);Gloves;multi-purpose combination respirator cartridge (US);type ABEK (EN14387) respirator filter,"2,2,3,3,3-五氟丙烯酸丙酯","2,2,3,3,3-五氟丙基丙烯酸酯",2916129000 其他丙烯酸酯. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:6.5% 普通关税:30.0%,,,,Warning,Keep Cold,,C6H5F5O2,1、 摩尔折射率：32.092、 摩尔体积（m3/mol）：153.43、 等张比容（90.2K）：322.34、 表面张力（dyne/cm）：19.45、 极化率（10-24cm3）：12.72,204.09500,,II,H226-H302-H312-H319-H332-H335,Xn: Harmful;F: Flammable;,UN 3272 3/PG 3,3,,,,,液体,S16-S26-S36,1.32 g/mL at 25 °C(lit.),n20/D 1.336(lit.),,,"一、物性数据性状：不可用密度（g/mL,25/4℃）：1.32相对蒸汽密度（g/mL,空气=1）：不可用熔点（ºC）：49-50沸点（ºC,常压）：50沸点（ºC,5.2kPa）：不可用折射率：1.336闪点（ºC）：不可用比旋光度（º）：不可用自燃点或引燃温度（ºC）：不可用蒸气压（kPa,25ºC）：不可用饱和蒸气压（kPa,60ºC）：不可用燃烧热（KJ/mol）：不可用临界温度（ºC）：不可用临界压力（KPa）：不可用油水（辛醇/水）分配系数的对数值：不可用爆炸上限（%,V/V）：不可用爆炸下限（%,V/V）：不可用溶解性：不可用",,,,,50 °C100 mm Hg(lit.),2916129000,49-50°C,"品名, 成分含量, 用途, 丙烯酸、丙烯酸盐或酯应报明包装",,,,,,,"GHS02, GHS07",204.02100,,更多,"2,2,3,3,3-pentafluoropropyl prop-2-enoate",356-86-5,,,P261-P280-P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:2.52.氢键供体数量:03.氢键受体数量:74.可旋转化学键数量:45.互变异构体数量:无6.拓扑分子极性表面积26.37.重原子数量:138.表面电荷:09.复杂度:20810.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,73 °F,,R10;R36/37/38
4.8,0,0,0,0,0,1,0,14,0,无,,20,0,376,3.85120,3.24000,,2933399090. other compounds containing an unfused pyridine ring (whether or not hydrogenated) in the structure. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:20.0%,,,,,,全氟-N-甲基哌啶,2933399090. 其他结构含非稠合吡啶环的化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:20.0%,,,,,,,C6F13N,1、 摩尔折射率：33.252、 摩尔体积（m3/mol）：185.63、 等张比容（90.2K）：363.54、 表面张力（dyne/cm）：14.75、 极化率（10-24cm3）：13.18,333.05000,,,,Xi,,,,,,,,S26;S36,1.79g/cm3,1.286,,,"一、物性数据性状：不可用密度（g/mL,25/4℃）：不可用相对蒸汽密度（g/mL,空气=1）：不可用熔点（ºC）：不可用沸点（ºC,常压）：不可用沸点（ºC,5.2kPa）：不可用折射率：不可用闪点（ºC）：不可用比旋光度（º）：不可用自燃点或引燃温度（ºC）：不可用蒸气压（kPa,25ºC）：不可用饱和蒸气压（kPa,60ºC）：不可用燃烧热（KJ/mol）：不可用临界温度（ºC）：不可用临界压力（KPa）：不可用油水（辛醇/水）分配系数的对数值：不可用爆炸上限（%,V/V）：不可用爆炸下限（%,V/V）：不可用溶解性：不可用",,,,,42.2ºC at 760 mmHg,2933399090,,"品名, 成分含量, 用途, 乌洛托品请注明外观, 6－己内酰胺请注明外观, 签约日期",,,,,,,,332.98200,,更多,"2,2,3,3,4,4,5,5,6,6-decafluoro-1-(trifluoromethyl)piperidine",359-71-7,,,,1.疏水参数计算参考值（XlogP）:4.82.氢键供体数量:03.氢键受体数量:144.可旋转化学键数量:05.互变异构体数量:无6.拓扑分子极性表面积3.27.重原子数量:208.表面电荷:09.复杂度:37610.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,,,R36/37/38
,,,,,,,,,,,,,,,2.25540,77.70000,,,,,,,,"3-(4-氟苯基)-2-硫基氧代-1,3-噻唑烷-4-酮",,,,,,室温,,C9H6FNOS2,,227.27800,,,,Xi: Irritant;,,,,,,,,,1.53g/cm3,1.707,,,,,,,,339ºC at 760mmHg,,,,,,,,,,,226.98700,,更多,"3-(4-fluorophenyl)-2-sulfanylidene-1,3-thiazolidin-4-one",387-27-9,,,,,,158.9ºC,,
3.6,0,0,0,0,0,1,0,3,1,无,,12,0,160,3.67,,,2903999090 halogenated derivatives of aromatic hydrocarbons VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:5.5% General tariff:30.0%,,,,Eyeshields;Faceshields;full-face respirator (US);Gloves;multi-purpose combination respirator cartridge (US);type ABEK (EN14387) respirator filter,2-三氟甲基苯乙烯|邻三氟甲基苯乙烯,2-(三氟甲基)苯乙烯,2903999090 其他芳烃卤化衍生物. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:5.5% 普通关税:30.0%,,,,Warning,保持贮藏器密封、储存在阴凉、干燥的地方，确保工作间有良好的通风或排气装置,,C9H7F3,,172.147,,III,H226-H315-H319-H335,Xi: Irritant;,UN 1993 3,3.2,,,,,无色液体,16-26-36/37/39,1.2±0.1 g/cm3,1.478,,,"1. 性状：未确定2. 密度（g/mL,25℃）：1.1753. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：未确定5. 沸点（ºC,常压）：未确定6. 沸点（ºC, 5.33KPa）：617. 折射率：n20/D 1.478. 闪点（ºC）：42.29. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（mmHg,25ºC）：未确定12. 饱和蒸气压（KPa,25ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：未确定",,,,,145.2±0.0 °C at 760 mmHg,2903999090,,"品名, 成分含量, 用途",,,,,,如果遵照规格使用和储存则不会分解，未有已知危险反应,"GHS02, GHS07",172.049988,,更多,1-ethenyl-2-(trifluoromethyl)benzene,395-45-9,6.2±0.2 mmHg at 25°C,,P261-P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:3.62.氢键供体数量:03.氢键受体数量:34.可旋转化学键数量:15.互变异构体数量:无6.拓扑分子极性表面积07.重原子数量:128.表面电荷:09.复杂度:16010.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,42.2±0.0 °C,,R10
2.4,0,0,0,0,0,1,0,2,1,无,,6,0,59.8,1.93,,,,,,,,"3,3-二氟-3-溴丙烯","3-溴-3,3-二氟丙烯",,,,,,Keep Cold,,C3H3BrF2,1、 摩尔折射率：23.692、 摩尔体积（m3/mol）：97.23、 等张比容（90.2K）：206.74、 表面张力（dyne/cm）：20.45、 极化率（10-24cm3）：9.39,156.957,,,,Xi: Irritant;,,,,,,,,S26-S36/37/39,1.6±0.1 g/cm3,1.402,,,"一、物性数据性状：不可用密度（g/mL,25/4℃）：1.543相对蒸汽密度（g/mL,空气=1）：不可用熔点（ºC）：53-54沸点（ºC,常压）：41-42沸点（ºC,5.2kPa）：不可用折射率：1.377闪点（ºC）：不可用比旋光度（º）：不可用自燃点或引燃温度（ºC）：不可用蒸气压（kPa,25ºC）：不可用饱和蒸气压（kPa,60ºC）：不可用燃烧热（KJ/mol）：不可用临界温度（ºC）：不可用临界压力（KPa）：不可用油水（辛醇/水）分配系数的对数值：不可用爆炸上限（%,V/V）：不可用爆炸下限（%,V/V）：不可用溶解性：不可用",,,,,42.0±0.0 °C at 760 mmHg,,53-54°C,,,,,,,,,155.938614,,更多,"3-bromo-3,3-difluoroprop-1-ene",420-90-6,410.8±0.0 mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:2.42.氢键供体数量:03.氢键受体数量:24.可旋转化学键数量:15.互变异构体数量:无6.拓扑分子极性表面积07.重原子数量:68.表面电荷:09.复杂度:59.810.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,-4.6±25.9 °C,,R36/37/38
,,,,,,,,,,,,,,,1.39880,32.59000,,2928000090 other organic derivatives of hydrazine or of hydroxylamine VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:6.5% General tariff:20.0%,,,,,,"1,1,1-三氟-2-丙酮肟",2928000090 其他肼（联氨）及胲（羟胺）的有机衍生物。监管条件:无。增值税率:17.0%。退税率:9.0%。最惠国关税:6.5%。普通关税:20.0%,,,,,,,C3H4F3NO,,127.06500,,,,Xi: Irritant;,,,,,,,,26-36/37/39,1.32g/cm3,1.343,,,,,,,,96.3ºC at 760mmHg,2928000090,,"品名, 成分含量, 用途",,,,,,,,127.02400,,更多,"1,1,1-Trifluoroacetone oxime",431-40-3,31.3mmHg at 25°C,,,,,12ºC,,36/37/38
,,,,,,,,,,,,,,,5.39640,,,2903999090 halogenated derivatives of aromatic hydrocarbons VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:5.5% General tariff:30.0%,,,,,,"1-氯-2,4,6-三(三氟甲基)苯",2903999090 其他芳烃卤化衍生物. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:5.5% 普通关税:30.0%,,,,,,,C9H2ClF9,,316.55100,,,,Xi: Irritant;,,,,,,,,,1.567g/cm3,1.373,,,,,,,,137.5ºC at 760 mmHg,2903999090,,"品名, 成分含量, 用途",,,,,,,,315.97000,,更多,"2-chloro-1,3,5-tris(trifluoromethyl)benzene",444-38-2,8.71mmHg at 25°C,,,,,56.9ºC,,
,,,,,,,,,,,,,,,2.14,81.07000,,,,,,,,4-氨基-2-氟-5-硝基苯甲醚,,,,,,室温,,C7H7FN2O3,,186.141,,,,,,,,,,,,,1.4±0.1 g/cm3,1.578,,,,,,,,355.4±37.0 °C at 760 mmHg,,142.5-143.5 °C,,,,,,,,,186.044067,,更多,5-fluoro-4-methoxy-2-nitroaniline,446-20-8,0.0±0.8 mmHg at 25°C,,,,,168.7±26.5 °C,,
,,,,,,,,,,,,,,,2.79,94.83000,,,,,,,芦西定|光泽汀,"1,3-二羟基-2-(羟基甲基)蒽醌",,,,,,-20°C,,C15H10O5,,270.237,,,,,,,"[1].Westendorf J, et al. The genotoxicity of lucidin, a natural component of Rubia tinctorum L., and lucidinethylether, a component of ethanolic Rubia extracts. Cell Biol Toxicol. 1988 Jun;4(2):225-39.[2].Westendorf J, et al. Carcinogenicity and DNA adduct formation observed in ACI rats after long-term treatment with madder root, Rubia tinctorum L. Carcinogenesis. 1998 Dec;19(12):2163-8.",,,,,,1.6±0.1 g/cm3,1.746,,"Lucidin (NSC 30546)是茜草中的天然成分,能诱导细菌和哺乳动物细胞的突变。",,,,,,585.0±29.0 °C at 760 mmHg,,330ºC,,,,信号通路>>其他>>其他研究领域>>癌症天然产物>>其他,,,,,270.052826,,更多,"1,3-dihydroxy-2-(hydroxymethyl)anthracene-9,10-dione",478-08-0,0.0±1.7 mmHg at 25°C,,,,,321.6±20.8 °C,,
,,,,,,,,,,,,,,,3.71,80.92000,UX1750000,"2907299090 polyphenols; phenol-alcohols。supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward)。VAT:17.0%。tax rebate rate:9.0%。MFN tariff:5.5%。general tariff:30.0%",3,0,2,dust mask type N95 (US);Eyeshields;Gloves,"正二氢愈创酸|双(3,4-二羟基)-2,3-二甲基丁烷|4,4'-(2,3-二甲-1,4-丁二基)雙(1,2-苯二酚)|4,4'-(2,3-二甲基四亚甲基)二邻苯二酚|降二氢愈创木酸|4,4'-(2,3-二甲-1,4-丁二基)双(1,2-苯二酚)",去甲二氢愈创木酸,"2907299090 其他多元酚，酚醇。监管条件:AB(入境货物通关单,出境货物通关单)。增值税率:17.0%。退税率:9.0%。最惠国关税:5.5%。普通关税:30.0%",171,"与对照ob/ob食物组相比,在高剂量去甲二氢愈创木酸(NDGA)饮食组中从9周处理开始,并且在低剂量组中从12周开始,体重显着降低。 Nordihydhyduauaiaretic acid治疗导致ob/ob小鼠的体温(直肠)温度升高,尤其是高剂量的Nordihydroguaiaretic acid [3]。","天然的二儿茶酚二氢愈创木酸(NDGA)是来自杂酚油植物(Larrea tridentata：Zygophyllaceae)的选择性5LOX抑制剂。抑制5LOX的天然二儿茶酚去甲二氢愈创木酸是TNFα刺激的小胶质细胞激活的非常有效的无毒拮抗剂。 Nordihydhydroguaiaretic acid的体外效力约为米诺环素的6倍,IC50值为8±3μM,100μM时无毒性。在800nM的去甲二氢愈创木酸中观察到显着的NO 2 -抑制。对于天然和合成的去甲二氢愈创木酸以及去甲二氢愈创木酸的乙酰酯,观察到类似的功效。 Nordihydhydroguaiaretic acid还抑制TNFα刺激的EOC-20细胞产生PGE2,IC50为841 nM [1]。为了测试前列腺素E1和去甲二氢愈创木酸(NDGA)对癌细胞系的增殖作用,HepG2细胞系用各种方法治疗。通过MTT测定检查两种化合物和阳性化合物8-苯胺基-1-萘磺酸盐(ANS)的剂量,持续24小时和细胞活力。 ANS显示剂量依赖性抑制(0,10,30,50,100,100,120和150μM),估计的IC 50为25.888μM。在0,30,60,80,100,120和140μM的不同浓度下,前列腺素E1的测试IC50分别为41.223μM和去甲二氢愈创木酸为45.646μM[2]。",Warning,-20°C密封保存，放置在通风，干燥的环境中,1,C18H22O4,1、 摩尔折射率： 86.262、 摩尔体积（m3/mol）：243.43、 等张比容（90.2K）：669.94、 表面张力（dyne/cm）：57.35、 极化率（10-24cm3）：34.19,302.365,小鼠[3]使用7周龄雄性对照C57BL / 6J小鼠，雄性瘦蛋白缺陷型（ob / ob）小鼠和雄性Pparα缺陷型突变小鼠（B6.129S4-Pparatm1Gonz / J）。给这些小鼠喂食标准食物饲料1周，使它们适应受控的新环境（25±2℃，55±5％相对湿度，12小时光暗循环）。随后，将一组ob / ob小鼠改为补充低 - （0.83g / kg食物饮食）或高剂量（2.5g / kg食物饮食）去甲二氢愈创木酸的食物，并在该饮食中维持16周。其他组的ob / ob小鼠和对照小鼠继续喂食正常的饲料，持续16周。在另一组研究中，C57BL / 6J小鼠和Pparα缺陷型突变小鼠喂食高脂肪饮食（约占总热量的60％来自脂肪），或同样的高脂肪饮食补充高剂量的Nordihydroguauaretic酸（2.5克/千克饮食）。在整个实验过程中每周测量一次食物摄取和体重。,,H302-H315-H319-H335,Xn:Harmful;,NONH for all modes of transport,,"[1].West M, et al. The arachidonic acid 5-lipoxygenase inhibitor Nordihydroguaiaretic acid inhibits tumor necrosis factor alpha activation of microglia and extends survival of G93A-SOD1 transgenic mice. J Neurochem. 2004 Oct;91(1):133-43.[2].Lu F, et al. Virtual Screening for Potential Allosteric Inhibitors of Cyclin-Dependent Kinase 2 from Traditional Chinese Medicine. Molecules. 2016 Sep 21;21(9). pii: E1259.[3].Zhang H, et al. Nordihydroguaiaretic acid improves metabolic dysregulation and aberrant hepatic lipid metabolism in mice by both PPARα-dependent and -independent pathways. Am J Physiol Gastrointest Liver Physiol. 2013 Jan 1;304(1):G72-86.",5,0,303,白色至灰白色粉末,S26-S37/39,1.2±0.1 g/cm3,1.627,80.9,Nordihydroguaiaretic acid 是一种 5-脂氧合酶 (5LOX) (IC50=8±3 μM) 和酪氨酸激酶抑制剂。,"1. 性状：白色至灰白色结晶性粉末2. 密度（g/ m3,25/4℃）：未确定3. 相对蒸汽密度（g/cm3,空气=1）：未确定4. 熔点（ºC）：183-1855. 沸点（ºC,常压）：未确定6. 沸点（ºC,5.2kPa）：未确定7. 折射率：未确定8. 闪点（ºF）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：难溶于水",R.进口食品卫生监督检验 S.出口食品卫生监督检验 M.进口商品检验 N.出口商品检验,4,4,slightly soluble,526.5±45.0 °C at 760 mmHg,2907299090,184-189ºC,"品名, 成分含量, 用途",4.3,A.入境货物通关单 B.出境货物通关单,信号通路>>代谢酶/蛋白酶>>5脂氧合酶信号通路>>自噬>>自噬研究领域>>癌症研究领域>>神经疾病天然产物>>苯丙酸类,0,0,按规格使用和贮存，不会发生分解，避免与氧化物接触,GHS07,302.151794,"MTT测定用于测量HepG2细胞系中所选择的最有希望的化合物的细胞生长抑制活性。将细胞以1×10 4个细胞/孔在96孔培养板中培养。在37℃，5％CO 2气氛中培养24小时后，将细胞粘附并用不同浓度的目标化合物（例如，去甲二氢愈创木酸，0,30,60,80,100,120和140μM）处理。并孵育24小时。然后，弃去上清液并向每个孔中加入MTT（0.5mg / mL）并在37℃，5％CO 2中再孵育4小时。然后，除去MTT并加入150μL甲硫酸的DMSO终止反应，然后将板在低速下放置在台式振荡器中5分钟。通过使用ELISA Plate Reader测量570nm处的吸光度来评估细胞增殖。 IC50值由SPSS统计17.0 [2]计算。",更多,nordihydroguaiaretic acid,500-38-9,0.0±1.4 mmHg at 25°C,0,P261-P305 + P351 + P338,1、 疏水参数计算参考值（XlogP）：4.32、 氢键供体数量：43、 氢键受体数量：44、 可旋转化学键数量：55、 互变异构体数量：1716、 拓扑分子极性表面积（TPSA）：80.97、 重原子数量：228、 表面电荷：09、 复杂度：30310、 同位素原子数量：011、 确定原子立构中心数量：012、 不确定原子立构中心数量：213、 确定化学键立构中心数量：014、 不确定化学键立构中心数量：015、 共价键单元数量：1,22,247.8±23.3 °C,IC50: 8±3 μM (5LOX)[1],R22;R36/37/38
