1.疏水参数计算参考值（XlogP）,10.同位素原子数量,11.确定原子立构中心数量,12.不确定原子立构中心数量,13.确定化学键立构中心数量,14.不确定化学键立构中心数量,15.共价键单元数量,2.氢键供体数量,3.氢键受体数量,4.可旋转化学键数量,5.互变异构体数量,6.拓扑分子极性表面积,7.重原子数量,8.表面电荷,9.复杂度,LogP,PSA,RTECS号,Summary,WGK德国,不确定化学键立构中心数量,不确定原子立构中心数量,个人防护装备,中文别名,中文名,中文概述,互变异构体数量,体内研究,体外研究,信号词,储存条件,共价键单元数量,分子式,分子结构,分子量,动物实验,包装等级,危害声明,危害码 (欧洲),危险品运输编码,危险类别,参考文献,可旋转化学键数量,同位素原子数量,复杂度,外观性状,安全声明 (欧洲),密度,折射率,拓扑分子极性表面积（TPSA）,描述,更多,检验检疫,氢键供体数量,氢键受体数量,水溶解性,沸点,海关编码,熔点,申报要素,疏水参数计算参考值（XlogP）,监管条件,相关类别,确定化学键立构中心数量,确定原子立构中心数量,稳定性,符号,精确质量,细胞实验,英文别名,英文名,药物名称,蒸汽压,表面电荷,警示性声明,计算化学,重原子数量,闪点,靶点,风险声明 (欧洲)
,,,,,,,,,,,,,,,,74.60000,,"2917209090 other cyclanic, cyclenic or cyclotherpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives。supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward)。VAT:17.0%。tax rebate rate:9.0%。MFN tariff:6.5%。general tariff:30.0%",,,,,,"顺式-环丙烷-1,2-二羧酸","HS:2917209090 其他（环烷、环烯、环萜烯）多元羧酸 增值税率:17.0% 退税率:9.0% 监管条件:AB(入境货物通关单,出境货物通关单) 最惠国关税:6.5% 普通关税:30.0%",,,,,室温,,C5H6O4,,130.09900,,,,F,,,,,,,,,1.673g/cm3,1.584,,,,R.进口食品卫生监督检验 S.出口食品卫生监督检验,,,,305.8ºC at 760 mmHg,2917209090,139-140ºC,"品名, 成分含量, 用途, 对苯二甲酸请注明4-CBA值, 对苯二甲酸请注明P-TL酸值, 对苯二甲酸请注明色度, 对苯二甲酸请注明水分",,A.入境货物通关单 B.出境货物通关单,,,,,,130.02700,,更多,"cyclopropane-1,2-dicarboxylic acid",696-74-2,,,,,,153ºC,,
,,,,,,,,,,,,,,,1.06320,25.78000,,2933599090. other compounds containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:20.0%,,,,,,"(7CI,8CI,9CI)-2,4-二氟-6-甲基嘧啶",2933599090. 其他结构上有嘧啶环的化合物(包括其他结构上有哌嗪环的化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:20.0%,,,,,,,C5H4F2N2,,130.09500,,,,,,,,,,,,,1.293g/cm3,1.454,,,,,,,,220.3ºC at 760 mmHg,2933599090,,"品名, 成分含量, 用途, 乌洛托品请注明外观, 6－己内酰胺请注明外观, 签约日期",,,,,,,,130.03400,,更多,"2,4-difluoro-6-methylpyrimidine",696-80-0,,,,,,87ºC,,
,,,,,,,,,,,,,,,2.00240,62.60000,,2930909090. other organo-sulphur compounds. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:30.0%,,,,,,(2-氟苯基)硫代]乙酸,2930909090. 其他有机硫化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:30.0%,,,,,,,C8H7FO2S,,186.20300,,,,,,,,,,,,,1.36g/cm3,1.585,,,,,,,,297.6ºC at 760 mmHg,2930909090,,"品名, 成分含量, 用途",,,,,,,,186.01500,,更多,2-(2-fluorophenyl)sulfanylacetic acid,705-02-2,,,,,,133.8ºC,,
,,,,,,,,,,,,,,,2.29590,26.30000,,,,,,,,环己烷丙烯酸甲酯,,,,,,,,C10H16O2,,168.23300,,,,,,,,,,,,,1.036g/cm3,1.525,,,,,,,,227.1ºC at 760 mmHg,,,,,,,,,,,168.11500,,更多,methyl (E)-3-cyclohexylprop-2-enoate,705-95-3,,,,,,103.2ºC,,
6.6,0,0,0,0,0,1,1,1,3,2,,19,0,273,6.55,20.23000,SN3570000,,3,,,dust mask type N95 (US);Eyeshields;Gloves,"2.4.6-三叔丁基酚|2,4,6-三叔丁基酚","2,4,6-三叔丁基苯酚",,,,,Warning,密封储存，储存于阴凉、干燥的库房。,,C18H30O,,262.430,,III,H302-H400,Xi:Irritant;,UN 2430 8/PG 3,9,,,,,黄色结晶粉末,S26-S36/37/39-S45-S60-S61-S24/25,0.9±0.1 g/cm3,1.490,,,"1. 性状：黄色结晶状粉末2. 相对密度（25℃，4℃）：0.86426.73. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：1315. 沸点（ºC,常压）：2786. 沸点（ºC,0.1mmHg）：未确定7. 折射率(n20/D)：未确定8. 闪点（ºC）：1309. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,25ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：不溶于水",,,,insoluble,278.0±0.0 °C at 760 mmHg,,125-130 °C(lit.),,,,,,,避免与不相容材料接触。   与强氧化剂，碱，铜合金，酸性氯化物，酸酐反应。,"GHS07, GHS09",262.229675,,更多,"2,4,6-Tri-tert-butylphenol",732-26-3,0.0±0.6 mmHg at 25°C,,P273-P301 + P312 + P330-P391,1.疏水参数计算参考值（XlogP）:6.62.氢键供体数量:13.氢键受体数量:14.可旋转化学键数量:35.互变异构体数量:26.拓扑分子极性表面积20.27.重原子数量:198.表面电荷:09.复杂度:27310.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,129.3±8.4 °C,,R22;R36/37/38
,,,,,,,,,,,,,,,1.59430,86.63000,,,,,,,,乙酰氯霉素,,,,,,,,C13H15Cl2NO4,,320.16900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.03800,,更多,"N-[1-(4-acetylphenyl)-1,3-dihydroxypropan-2-yl]-2,2-dichloroacetamide",735-52-4,,,,,,,,
无,0,0,0,0,0,1,0,0,2,无,0,7,0,42.1,2.73460,,,,,,,,二乙基二甲基硅烷,二甲基二乙基硅烷,,,,,,,,C6H16Si,,116.27700,,,,,,,,,,,,,0.712g/cm3,1.388,,,,,,,,95ºC,,,,,,,,,,,116.10200,,更多,diethyl(dimethyl)silane,756-81-0,,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:03.氢键受体数量:04.可旋转化学键数量:25.互变异构体数量:无6.拓扑分子极性表面积:07.重原子数量:78.表面电荷:09.复杂度:42.110.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,,,
无,0,0,0,1,0,1,0,0,1,无,,9,0,86.2,3.22,,,2902909090 other aromatic hydrocarbons。Supervision conditions:None。VAT:17.0%。Tax rebate rate:9.0%。MFN tariff:2.0%。General tariff:30.0%,,,,,顺-Beta-甲基苯乙烯|beta-甲基苯乙烯|(Z)-β-甲基苯乙烯,顺-β-甲基苯乙烯,2902909090. 其他芳香烃. 增值税率:17.0%. 退税率:9.0%. 监管条件:无. 最惠国关税:2.0%. 普通关税:30.0%,,,,,室温，干燥,,C9H10,1、 摩尔折射率：42.142、 摩尔体积（cm3/mol）：130.43、 等张比容（90.2K）：310.24、 表面张力（dyne/cm）：32.05、 介电常数：2.796、 偶极距（10-24cm3）：7、 极化率：16.70,118.176,,,,F+,UN 1993,3.0,,,,,液体;Colorless to Almost colorless clear liquid,S16,0.9±0.1 g/cm3,1.560,,,"1. 性状：未确定2. 密度（g/mL,25/4℃）：0.90883. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：-61.65. 沸点（ºC,常压）：167.56. 沸点（ºC,5.2kPa）：未确定7. 折射率(n20D)：1.5428. 闪点（ºC）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：不溶于水，与乙醇、乙醚、丙酮、苯互溶。",,,,,167.5±0.0 °C at 760 mmHg,2902909090,-60ºC,"品名, 成分含量",,,,,,1. 存在于烟气中。2. 有Z、E两种异构体，上述内容特指（Z）-1-丙烯基苯。,,118.078247,,更多,Cis-1-Phenyl-1-Propene,766-90-5,2.2±0.1 mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:03.氢键受体数量:04.可旋转化学键数量:15.互变异构体数量:无6.拓扑分子极性表面积07.重原子数量:98.表面电荷:09.复杂度:86.210.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:114.不确定化学键立构中心数量:015.共价键单元数量:1,,60.0±0.0 °C,,R10
2.8,0,0,0,0,0,1,0,2,3,无,,13,0,173,2.64190,26.30000,,"2916310090 other benzoic acid and its salts and esters。supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward)。VAT:17.0%。tax rebate rate:9.0%。MFN tariff:6.5%。general tariff:30.0%",,,,,苯甲酸叔丁酯,叔丁基苯甲酸,"2916310090 其他苯甲酸及其盐和酯. 增值税率:17.0% 退税率:9.0% 监管条件:AB(入境货物通关单,出境货物通关单) 最惠国关税:6.5% 普通关税:30.0%",,,,,室温，干燥,,C11H14O2,1、 摩尔折射率：51.892、 摩尔体积（cm3/mol）：176.83、 等张比容（90.2K）：426.54、 表面张力（dyne/cm）：33.85、 介电常数：6、 偶极距（10-24cm3）：7、 极化率：20.57,178.22800,,,,,,,,,,,,S24/25,1 g/cm3,1.498,,,"1. 性状：未确定2. 密度（g/mL,25/4℃）：0.988 g/cm33. 沸点（ºC）：112184. 熔点（ºC）：未确定5. 相对密度（20℃，4℃）：0.99336. 沸点（ºC, 1mmHg）：54 °C7. 常温折射率（n20）：1.49108. 常温折射率（n25）：1.48869. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：未确定",R.进口食品卫生监督检验 S.出口食品卫生监督检验 M.进口商品检验 N.出口商品检验,,,,54ºC / 1mmHg,2916310090,,"品名, 成分含量, 用途, 丙烯酸、丙烯酸盐或酯应报明包装",,A.入境货物通关单 B.出境货物通关单,,,,,,178.09900,,更多,tert-butyl benzoate,774-65-2,,,,1.疏水参数计算参考值（XlogP）:2.82.氢键供体数量:03.氢键受体数量:24.可旋转化学键数量:35.互变异构体数量:无6.拓扑分子极性表面积26.37.重原子数量:138.表面电荷:09.复杂度:17310.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,100.4ºC,,
无,0,0,0,0,0,1,1,3,2,无,,11,0,147,2.46,62.60000,,2930909090. other organo-sulphur compounds. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:30.0%,3,,,Eyeshields;Gloves;type N95 (US);type P1 (EN143) respirator filter,3-(硫代甲基)苯甲酸,3-(甲硫基)苯甲酸,2930909090. 其他有机硫化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:30.0%,,,,,保持容器密封，储存在阴凉，干燥的地方,,C8H8O2S,1、摩尔折射率：45.662、摩尔体积（m3/mol）：131.23、等张比容（90.2K）：356.54、表面张力（dyne/cm）：54.45、极化率（10-24cm3）：18.10,168.213,,,,Xn,NONH for all modes of transport,,,,,,白色-极淡的黄色晶体-粉末,,1.3±0.1 g/cm3,1.613,,,"1. 性状：未确定2. 密度（g/mL,25/4℃）：未确定3. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：126-130°C5. 沸点（ºC,常压）：未确定6. 沸点（ºC,5.2kPa）：未确定7. 折射率：未确定8. 闪点（ºC）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：未确定",,,,,321.5±25.0 °C at 760 mmHg,2930909090,126-130ºC,"品名, 成分含量, 用途",,,,,,常温常压下稳定，避免强氧化剂 接触,,168.024506,,更多,3-(Methylthio)benzoic Acid,825-99-0,0.0±0.7 mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:13.氢键受体数量:34.可旋转化学键数量:25.互变异构体数量:无6.拓扑分子极性表面积62.67.重原子数量:118.表面电荷:09.复杂度:14710.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,148.2±23.2 °C,,
0.7,0,0,4,0,0,1,0,3,0,无,43.4,12,0,277,-0.04,43.37000,DT5600000,2932999099. other heterocyclic compounds with oxygen hetero-atom(s) only. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:20.0%,3,,,,"NA酸酐|双环[2.2.1]庚-5-烯-2,3-二羧酸酐|内次甲基四氢苯酐|双环[2.2.1]-5-庚烯-2-酸酐|5-降冰片烯-2,3-二酸酐|内亚甲基四氢苯酐|纳迪克酸酐|5-降冰片烯-2,3-二羧酸酐|双环[2.2.1]庚-5-烯-2-酸酐|降冰片烯二酸酐",NA-酸酐,2932999099. 其他仅含氧杂原子的杂环化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:20.0%,,,,Danger,存放于惰性气体之中;避免湿气 (分解),,C9H8O3,,164.158,,I; II; III,H317-H318-H334,Xn:Harmful;,UN 1325,,,,,,白色固体,S22-S24-S26-S37/39,1.4±0.1 g/cm3,1.584,,,,,,,,331.1±42.0 °C at 760 mmHg,2932999099,158-164ºC,"品名, 成分含量, 用途",,,,,,,"GHS05, GHS08",164.047348,,更多,"5-Norbornene-2,3-Dicarboxylic Anhydride",826-62-0,0.0±0.7 mmHg at 25°C,,P261-P280-P305 + P351 + P338-P342 + P311,1.疏水参数计算参考值（XlogP）:0.72.氢键供体数量:03.氢键受体数量:34.可旋转化学键数量:05.互变异构体数量:无6.拓扑分子极性表面积:43.47.重原子数量:128.表面电荷:09.复杂度:27710.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:413.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,163.8±25.1 °C,,R41;R42/43
,,,,,,,,,,,,,,,8.10470,20.23000,,,,,,,,豆甾烷醇,,,,,,2-8℃,,C29H52O,,416.72300,,,,Xi: Irritant;,,,,,,,,24-26-36,0.948g/cm3,1.501,,Stigmastanol 是一种存在于各种植物中的植物甾醇。,,,,,,471.9ºC at 760 mmHg,,,,,,研究领域>>其他天然产物>>类固醇,,,,,416.40200,,更多,stigmastanol,83-45-4,,,,,,197.1ºC,Human Endogenous Metabolite,36/37/38
无,0,0,1,0,0,1,1,1,2,3,,11,0,111,2.90570,20.23000,SJ8920000,2907191090 2-(sec-butyl)phenol。Supervision conditions:None。VAT:17.0%。Tax rebate rate:9.0%。Lowest tariff:4.0%。General tariff:11.0%,2,,,Faceshields;full-face respirator (US);Gloves;Goggles;multi-purpose combination respirator cartridge (US);type ABEK (EN14387) respirator filter,邻仲丁基苯酚|2-仲-丁基苯酚|2-特丁基苯酚,2-仲丁基苯酚,2907191090 邻仲丁基酚。监管条件:无。增值税率:17.0%。退税率:9.0%。最低关税:4.0%。普通关税:11.0%,,,,Danger,"库房通风低温干燥,与碱类、氧化剂分开储运",,C10H14O,1、 摩尔折射率：46.952、 摩尔体积（cm3/mol）：154.43、 等张比容（90.2K）：377.14、 表面张力（dyne/cm）：35.55、 极化率（10-24cm3）：18.61,150.21800,,III,H302-H314,C:Corrosive;,UN 3145 8/PG 2,8,,,,,无色至淡黄色液体,S26-S27-S28-S36/37/39-S45,0.982 g/mL at 25 °C(lit.),n20/D 1.522(lit.),,,,,,,Insoluble.,226-228 °C(lit.),2907191090,12 °C(lit.),,,,,,,"Stable, but air sensitive. Incompatible with acid chlorides, acid anhydrides, bases, strong oxidizing agents, copper and its alloys, brass.","GHS05, GHS07",150.10400,,更多,2-sec-butylphenol,89-72-5,0.03 mm Hg ( 20 °C),,P280-P305 + P351 + P338-P310,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:13.氢键受体数量:14.可旋转化学键数量:25.互变异构体数量:36.拓扑分子极性表面积20.27.重原子数量:118.表面电荷:09.复杂度:11110.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:113.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,234 °F,,R22;R34
1.9,0,0,1,0,0,1,0,1,2,2,,10,0,103,1.98900,17.07000,CY1460000,2912299000. other cyclic aldehydes without other oxygen function. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:5.5%. General tariff:30.0%,3,,,Eyeshields;full-face respirator (US);Gloves;multi-purpose combination respirator cartridge (US);type ABEK (EN14387) respirator filter,龙葵醛|α-甲基苯乙醛|2-苯丙醛|氢化桂醛,2-苯基丙醛,2912299000. 其他不含其他含氧基的环醛. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:5.5%. 普通关税:30.0%,,,,Warning,本品应密封于阴凉处保存。,,C9H10O,1、 摩尔折射率：40.622、 摩尔体积（cm3/mol）：136.83、 等张比容（90.2K）：331.14、 表面张力（dyne/cm）：34.35、 极化率（10-24cm3）：16.10,134.17500,,,H315-H319-H335,Xi,NONH for all modes of transport,,,,,,透明无色液体,S26-S36,1.01,n20/D 1.517(lit.),,,"1. 性状：水白色至淡黄色液体。呈水仙花、青草叶子和瓜类似香气。2. 密度（g/mL,25/4℃）： 未确定3. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：未确定5. 沸点（ºC,常压）：2226. 沸点（ºC,2kPa）：7. 折射率：未确定8. 闪点（ºC）：699. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：Lml溶于1.5mL 70％乙醇，溶于大多数非挥发性油和矿物油，不溶于甘油，微溶于丙二醇。",,,,,201ºC (12 torr),2912299000,60ºC,"品名, 成分含量, 用途, 四聚甲醛报明外观",,,,,,水白色至淡黄色液体。呈水仙花、青草叶子和瓜类似香气。溶于大多数非挥发性油和矿物油，不溶于甘油，微溶于丙二醇。,GHS07,134.07300,,更多,2-Phenylpropionaldehyde,93-53-8,,,P261-P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:1.92.氢键供体数量:03.氢键受体数量:14.可旋转化学键数量:25.互变异构体数量:26.拓扑分子极性表面积17.17.重原子数量:108.表面电荷:09.复杂度:10310.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:113.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,169 °F,,R36/38
4.9,0,0,0,0,0,1,1,1,2,3,,15,0,206,4.86,20.23000,SK8260000,2907199090 other monophenols VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:5.5% General tariff:30.0%,2,,,dust mask type N95 (US);Eyeshields;Gloves,"2,4-二-叔-丁基苯酚|2,4-二特丁基苯酚|2,4-二叔丁基苯酚|2,4-二(1,1-二甲基乙基)苯酚","2,4-二叔丁基酚",2907199090 其他一元酚. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:5.5% 普通关税:30.0%,,,,Warning,储存于阴凉、通风的库房。远离火种。保持容器密封。应与氧化剂分开存放，切忌混储。配备相应品种和数量的消防器材。储区应备有合适的材料收容泄漏物。,,C14H22O,1、 摩尔折射率：64.902、 摩尔体积（cm3/mol）：221.23、 等张比容（90.2K）：518.34、 表面张力（dyne/cm）：30.15、 极化率（10-24cm3）：25.73,206.324,,III,H315-H319-H410,Xn:Harmful;N:Dangerousfortheenvironment;,UN 2430 8/PG 3,9,,,,,透明至淡黄色半固体,S26-S36/37-S61-S37/39-S29-S24-S45-S36/37/39,0.9±0.1 g/cm3,1.499,,"2,4-Di-tert-butylphenol 是一种内源性代谢产物。","1. 性状：棕黄色固体。2. 密度（g/mL,20℃）：0.8873. 固态相标准燃烧热(焓)(kJ·mol-1)：-8269.894. 熔点（ºC）：565. 沸点（ºC,常压）：2646. 固态标准声称热(焓)( kJ·mol-1)：-383.47. 常温折射率（n20）：1.50808. 闪点（ºC）：1159. 气相标准燃烧热(焓)(kJ·mol-1)：-8356.6010. 气相标准声称热(焓)( kJ·mol-1) ：-296.711. 蒸气压（mmHg,84.5ºC）：112. 饱和蒸气压（kPa, ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：溶于甲醇和醚，极微溶于水。",,,,practically insoluble,265.5±9.0 °C at 760 mmHg,29071900,53-56 °C(lit.),"品名, 成分含量, 用途",,,研究领域>>代谢疾病,,,避免与氧化物接触。,"GHS07, GHS09",206.167068,,更多,"2,4-Di-tert-butylphenol",96-76-4,0.0±0.6 mmHg at 25°C,,P273-P305 + P351 + P338-P501,1.疏水参数计算参考值（XlogP）:4.92.氢键供体数量:13.氢键受体数量:14.可旋转化学键数量:25.互变异构体数量:36.拓扑分子极性表面积20.27.重原子数量:158.表面电荷:09.复杂度:20610.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,115.0±0.0 °C,Human Endogenous Metabolite,R22;R36/38;R43;R50/53
,,,,,,,,,,,,,,,3.63,20.23000,SK1578400,2907199090 other monophenols VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:5.5% General tariff:30.0%,,,,Eyeshields;Faceshields;full-face particle respirator type N100 (US);Gloves;respirator cartridge type N100 (US);type P1 (EN143) respirator filter;type P3 (EN 143) respirator cartridges,4-叔丁基-2-甲基苯酚|4-叔丁基邻甲酚|4-叔丁基-邻甲酚,2-羟基-4-甲基苯甲醛,2907199090 其他一元酚. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:5.5% 普通关税:30.0%,,,,Danger,库房通风低温干燥,,C11H16O,,164.244,,,H314,C: Corrosive;,UN 2430 8/PG 3,8.0,,,,,,,1.0±0.1 g/cm3,1.513,,,,,,,,244.6±9.0 °C at 760 mmHg,2907199090,28-33ºC,"品名, 成分含量, 用途",,,,,,,GHS05,164.120117,,更多,4-tert-butyl-2-methylphenol,98-27-1,0.0±0.5 mmHg at 25°C,,P280-P305 + P351 + P338-P310,,,109.9±7.2 °C,,R34
无,0,0,0,0,0,1,1,1,1,2,,11,0,115,3.17,20.23000,SJ8925000,2907199090 other monophenols VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:5.5% General tariff:30.0%,2,,,dust mask type N95 (US);Eyeshields;Gloves,"对叔丁基苯酚|4-羟基-1-叔丁基苯|4-(1,1-二甲基乙基)苯酚",4-叔丁基苯酚,2907199090 其他一元酚. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:5.5% 普通关税:30.0%,,,,Danger,1.储存注意事项 储存于阴凉、通风的库房。远离火种、热源。包装密封。应与氧化剂、碱类、食用化学品分开存放，切忌混储。配备相应品种和数量的消防器材。储区应备有合适的材料收容泄漏物。2.用内衬塑料袋、外加纤维板的圆桶包装，每桶装25kg。按一般可燃化学品规定贮运。,,C10H14O,1、摩尔折射率：46.522、摩尔体积（cm3/mol）：154.53、等张比容（90.2K）：370.34、表面张力（dyne/cm）：32.95、介电常数：6、偶极距（10-24cm3）：7、极化率：18.44,150.218,,III,H315-H318-H361f-H411,Xi:Irritant;N:Dangerousfortheenvironment;,UN 3077 9/PG 3,8,,,,,白色结晶粉末有一种消毒剂的气味,S26-S39-S61,1.0±0.1 g/cm3,1.514,,,1.性状：白色针状结晶，有轻微的苯酚臭味。2.熔点（℃）：98~993.沸点（℃）：236~2384.相对密度（水=1）：0.91（114℃）5.相对蒸气密度（空气=1）：5.16.饱和蒸气压（kPa）：1.33（114℃）7.临界压力（MPa）：3.348.辛醇/水分配系数：3.319.闪点（℃）：112.810.爆炸上限（%）：5.811.爆炸下限（%）：0.812.溶解性：微溶于水，溶于乙醇、乙醚、丙酮、甲醇、苯。13.折射率（114ºC）： ：1.4787,,,,8.7 g/L (20 ºC),233.7±9.0 °C at 760 mmHg,2907199090,96-101 °C(lit.),"品名, 成分含量, 用途",,,,,,1.酚样的木香和甜香香气是一强的敏化剂和去色剂。遇明火能燃烧，分解放出有毒气体。2.对眼和皮肤、黏膜有中等刺激性。在热熔状态时能灼烧皮肤。此时可先用乙醇擦拭，然后用大量温水冲洗。生产装置应密闭，操作人员应穿戴防护用具。3.稳定性 稳定4.禁配物 碱类、酰基氯、酸酐、氧化剂、铜5.避免接触的条件 受热6.聚合危害 不聚合,"GHS05, GHS08, GHS09",150.104462,,更多,4-tert-butylphenol,98-54-4,0.0±0.5 mmHg at 25°C,,P201-P273-P280-P305 + P351 + P338 + P310-P308 + P313-P501,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:13.氢键受体数量:14.可旋转化学键数量:15.互变异构体数量:26.拓扑分子极性表面积20.27.重原子数量:118.表面电荷:09.复杂度:11510.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,110.9±8.2 °C,,R37/38;R41;R51/53
